StNo,Station,Passgrs,Latit,Longit,RailCo,Line
605,玉川上水,49667,35.7318325,139.4182725,多摩都市モノレール,多摩都市モノレール線
606,王子,176392,35.7529575,139.73798749999997,東日本旅客鉄道,東北線
607,王子神谷,32685,35.764359999999996,139.735905,東京地下鉄,7号線南北線
608,王子駅前,10166,35.75265,139.73835,東京都,荒川線
609,瑞江,49625,35.69339,139.89781,東京都,10号線新宿線
610,生麦,27642,35.495599999999996,139.66733499999998,京浜急行電鉄,本線
611,産業道路,8795,35.536605,139.740445,京浜急行電鉄,大師線
612,用賀,61750,35.62694,139.63461,東京急行電鉄,田園都市線
613,田園調布,36510,35.59729,139.667285,東京急行電鉄,目黒線
614,田奈,11257,35.536215,139.50492,東京急行電鉄,田園都市線
615,田無,74148,35.727195,139.538985,西武鉄道,新宿線
616,田端,86258,35.737475,139.761575,東日本旅客鉄道,東北線
617,甲州街道,3634,35.67825,139.409155,多摩都市モノレール,多摩都市モノレール線
618,町屋,74220,35.741772499999996,139.78047249999997,東京地下鉄,9号線千代田線
619,町屋二丁目,1885,35.743915,139.776425,東京都,荒川線
620,町屋駅前,9832,35.742775,139.780775,東京都,荒川線
621,登戸,308890,35.620525,139.5698375,東日本旅客鉄道,南武線
622,白井,10451,35.784735,140.05344,北総鉄道,北総線
623,白楽,43153,35.489175,139.62781,東京急行電鉄,東横線
624,白糸台,5354,35.666305,139.509525,西武鉄道,多摩川線
625,白金台,15543,35.63777,139.72586,東京地下鉄,7号線南北線
626,白金高輪,40985,35.643145000000004,139.734285,東京都,6号線三田線
627,百合ヶ丘,20814,35.609025,139.51608,小田急電鉄,小田原線
628,百草園,7510,35.657375,139.431375,京王電鉄,京王線
629,目白,74710,35.720389999999995,139.70628,東日本旅客鉄道,山手線
630,目黒,445714,35.632388750000004,139.71577125,東京地下鉄,7号線南北線
631,矢切,6649,35.757505,139.900555,北総鉄道,北総線
632,矢口渡,23318,35.56245,139.70033999999998,東京急行電鉄,東急多摩川線
633,矢向,32636,35.53981,139.68023,東日本旅客鉄道,南武線
634,矢川,14788,35.685075,139.43159,東日本旅客鉄道,南武線
635,矢野口,18386,35.641735,139.520435,東日本旅客鉄道,南武線
636,石川台,14346,35.59686,139.68509,東京急行電鉄,池上線
637,石川町,68296,35.439385,139.642695,東日本旅客鉄道,根岸線
638,石神井公園,71041,35.74364,139.60655500000001,西武鉄道,池袋線
639,砂川七番,2201,35.723385,139.41810500000003,多摩都市モノレール,多摩都市モノレール線
640,祐天寺,29616,35.63717,139.69074999999998,東京急行電鉄,東横線
641,祖師ヶ谷大蔵,44039,35.643265,139.609795,小田急電鉄,小田原線
642,神保町,203274,35.695655,139.75791199999998,東京都,10号線新宿線
643,神奈川,4896,35.47125,139.627415,京浜急行電鉄,本線
644,神奈川新町,16484,35.481515,139.64017,京浜急行電鉄,本線
645,神楽坂,37976,35.703865,139.73452,東京地下鉄,5号線東西線
646,神泉,10246,35.65719,139.69349,京王電鉄,井の頭線
647,神谷町,85960,35.662625,139.74472500000002,東京地下鉄,2号線日比谷線
648,秋山,5924,35.765505000000005,139.93193,北総鉄道,北総線
649,秋津,77735,35.778345,139.49733,西武鉄道,池袋線
650,秋葉原,699087,35.698128,139.773833,東日本旅客鉄道,東北線
651,程久保,796,35.65523,139.410755,多摩都市モノレール,多摩都市モノレール線
